"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57"
"0610007P14Rik",5,1,0,1,164.08,2,120.94937,309.0418,0,82.64478,36,1,12.8497,3.91398,1.75252,2.861179,0,27.58035,1.81922,2,0,0,0,25.77955,420.4582,0,3,285.1652,1183.8612,0,17,69.9893,946.8097,587.4972,8.94803,1,1219.5126,16,0,80.75327,480.0584,0,377.4679,426.5583,2,2,39.9055,75.86917,274.1099,233.73795,63.9295,5.92846,163.63676,368.35759,56,0,97.9652
"0610009B22Rik",0,0,66,108,0,0,55,1,158,1,1,0,5.01598,2,1,0,0,41,2,0,1,0,1,17,1,24,27,1,1,24,296,0,2,116.741,4,168.959,0,1,75.9142,2,0,0,188,153,0,3,7,100.955,169,102,62,0,190.981,97,1015.99,56,7
"0610009L18Rik",35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,0,0,0,1,0,0,0,0,77,0,6
"0610009O20Rik",3,0,0,103,0,1,9,3,104,4,61,1,0,34,0,0,1,68,0,0,7,0,0,6,44,0,0,0,0,1,34,143,0,3,0,0,0,2,46,59,1,1,146,15,1,44,0,2,13,139,43,0,29,57,0,0,27
"0610010F05Rik",0,0,0,7,9,0,43.99995,37,0.701658,60,14,3,33,0,4.0000044,0,0,109.00003,0,0,1,4.0000033,0,15,1.99999603,1,1.99999578,294.000139,1,0,1.999999,3,413.00000366501,171.999476,0,0,1,1,30,8,268,2,3.19923,0,7,0,4,0.99999992,34.999993,3,68.000027,11,1,197.999682,3.999997,1,2
"0610010K14Rik",2,0,1,94.99996,0,98.7225,69.652629,112.62822,0,0,0,2,4.0000000117079,45,0,0,152,146.33227,2,0,1,1,220.22683,153.00027,118.7169,46.53993,0,225,3,0,427.0005,0,190.519,227.2868,0,267.77036,209.9999,0,40.21390307029,234.1328,3,21.00004,2.14823,112,0,0,0,2.0000000615469,13.47209,1.29059,23.510487572,0,90.9999,67.2974,433.2433,0.516311,66.4629
"0610030E20Rik",0,0,0.570775,0,4.61629,0,8.80619,0,1.09976,0,0,1.73621,0,0,0,1.03713,0,0,7.9727,0,0,0.707556,0,0,0,0,0,1.06793,0.597908,132.65,0,0,3.02837,0.588767,43.2932,1.16878,0,0,0,0.583321,0,0,5.17408,0,0,0.531585,1.79916,0,13.695,0,0,0.623981,59.8791,17.2569,0,0,0
"0610037L13Rik",1,2.873168,686,21.42857,0,1,140.0752,111.19636,1,1,2,2,0,173.686,155,0,0,33,0,2.09709627,0,1,0,4.26018,174.47,0,0,245.945,1,2,7.78716,0.870214,143.287,236.60746,6.828,2,53.37566,2,59.0589,14.58173,3,0,29.60156,0,332.15772,0.870529,4.49516,206.1,45.63154,0.469146,12.8697,0,26.8442,12.78135,0,559.976386,14.5403
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",11,0,0,14,0,0,2,0,0,0,0,1,0,2,0,0,0,122,0,1,18,0,0,1,0,0,0,21,0,1,0,1,1,1,1,0,258,4,249,146,0,0,628,0,0,1,0,2,0,0,0,0,0,7,61,15,0
"1110004E09Rik",54.999973,0,1,30.3615,46.97519,0,0,66.5608,1,0,0,0,0,6,0,0,1,118,0,0,0,0,0,37.8488,0,0,0,124,2,0,207.47967,0,2,7,0,0,0,0,0.12668,0,0,0,0,0,224.9996,0,0,172.0469,7.32532,171.232,14.7485,2,2,70,0,0,4
