"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47"
"0610007P14Rik",322.0361,72.94568,874,1.36915,4,10.9693,197.7696,58,1.36389,1,0,119.93,88.7388,1055.8107,328.0557,2,0,0,0,0,109.93725,219.6596,6.95696,4.79635,0,5.61878,2.19835,1,160.9185,0,24,37.90039,16,10,1.259422,40,2,207.96909,4.29857,3,4,2,868.9188,23.69025,0,109.62035,0
"0610009B22Rik",126.04,241,0,0,1,1,0,0,1,0,1,185.98,0,790.301,40,4,0,0,113.854,126.691,0,61,0,0,0,1,1,80.2079,0,75.8237,2,2,1,0,27.234,0,166,82,88.8418,0,0,4,0,55,4,91.9386,351.991
"0610009L18Rik",0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,33,0,9,36,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,21,0,0
"0610009O20Rik",413,1,0,18,4,0,2,87,1,39,0,26,0,39,85,1,39,24,4,4,0,6,68,53,287,33,2,0,26,8,8,51,6,32,22,1,225,151,46,3,26,110,4,56,0,45,16
"0610010F05Rik",82.99999,0,218.955,0,0,1,1,1,69.03891,194.9999557,0,1,60,36,307.99998,3,41.9999336,0,7.0000003,0,0,49.000038,0,0,40,39,0,0,0,273,1,0,0,4.000008,0,0,0,21.0000321,0,0,6,6.378446,8.99999966,1,5,20,4.999996
"0610010K14Rik",681.82508,0,316.14900551,212.755,0,3,383.8848,98,0,1,106,258.9998,38,273.00029,435.9996,84.8099,0,52,0,314.0407,295.7473,131.097464499,0,0,51,192,0,43.3555,121.785,124.1996,2,474.6726,2,0,2,103.513,18.66,85.08698,774.000260232095,4,17,84,273.99981,62.00000604,45.23599,495.98515,267.00022
"0610030E20Rik",34.3092,0,0.581995,0,0,0.613135,0,7.08924,0.560143,0.582549,0,2.80033,0.51824,0,1.11932,0,0,20.8194,0,0.589593,126.822,1.75777,9.22917,68.485,0,1.14199,0,0.564709,1.57829,0,1.064,0,7.01183,0,0,26.4567,120.334,6.10495,29.7197,0,0,2.10582,0,0,1.22612,0,364.803
"0610037L13Rik",20.85035,4,1272.69663,1,29.56363,0.308705,7.399947,16.86632,266.90508,2.7139,21,97.3686,760.11168,10.21279,47.72676,132.99996,3423.86562,70,1.16792,25.5744,0,88.58991,3,85.01432,135.929,34.7587,1,38.90652,147.07869,5.08657,1.3837,2.56339,3.30544,2.87091,8.12212,0,96,50.52678,114.5589,504.1379,1.868673,4.374214,126.975,124.208,35.8649,398.4554,695.10699
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,8,0,702,4,0,1,1,0,1,0,0,0,0,2,0,0,0,29,0,3.1019,0,100,12,61,684,25,0,21,347,1,178,2,2,2,0,101,28,0,1,6,240,0,100,2,1,735
"1110004E09Rik",17.00004,184,367,0,0,0,301.0005,0,0,0,1,121.013,0,159,44.99998,0,0,91,1,0,6,68.89612,0,49.99996,11,5,0,8,3.95452,0,0,0,0,28,156.161,20,111.3397,160,0,0,0,49,47,74.99368376,0,139,43
