"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59"
"0610007P14Rik",31,0,0.82132,0,0,0,0,0,472.7571,0,0,0,38.47636,0,0,0,0,48.16766,39,0,200.9998,0,0,0,0,2,175.5539,5,6.90051,0,0,1,0,122.7341,0,90.00001,0,0,1,0,0,0,1,0,2,0,58.75325,0,1,0,0,0,0,0,0,1,1,0,69.608541
"0610009B22Rik",0,0,0,29,0,0,23,0,0,1,0,0,23,0,1,0,0,1,0,1,0,0,32,0,0,104.876,0,204.804,0,0,1,12,0,272.843,2,62,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,55,0,0,0,830.423,8,0,0
"0610009L18Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
"0610009O20Rik",0,4,2,0,0,0,15,0,0,2,0,0,8,0,20,32,0,1,2,0,97,0,6,0,0,4,2,14,0,4,0,2,0,65,0,19,0,16,1,0,1,11,466,0,91,14,1,45,0,1,0,1,0,5,0,0,0,1,4
"0610010F05Rik",0,0,9,0,0,0,1,0,0,1.02403,0.130202,33,0,0,5.67382,0,1,1.70162,43,0,0.0813428,0,0,0,0,4.99999772,0,3.00000097,0,0,3.25231,0,1.98998,0,1,0,0,0,92.999954,0,0,0,208.777,0.708839,0,9.96502,0,0,0,0,0,0,0,0,0,0,1,0,0
"0610010K14Rik",1,0,0,2,0,2.000003,273.2455,3,0,0,0,412.980442,0,197.9616,3,0,0,0,17,3,0,1,1,17,319.4407,359,823.6482,0,116,1.45871,2,0,0,3.000000043167,0,462.6645,0,0,2.000000110563,56.00005,136.84528,0,0,0,0,185.63907,0,47.0305,0,0,1,0,2,445.6711,1,718.511,300.00367,0,35.00004
"0610030E20Rik",0,0,0,0.598727,0,78.2036,0,0,0,35.0268,0,0,382.631,0,0,0.538603,0.512345,257.65,0,0,0.618684,0,0,6.13247,16.1452,0,0.510417,0,0.570059,42.6054,10.7947,0,0,9.98314,0.55893,0,0,3.56111,0,0.603712,12.7766,2.60116,9.64862,0,0,0,1.03281,0,0.618488,0,0,0,1.1935,5.6277,0,0,0,0,0
"0610037L13Rik",116,2,170.61874,0,18,1.10266,0,1,0,0,19.68903,139.99986,101.543,1.999998,0,0,0,0,0,191.39925,1,0.874086,0,5,4,0,62.6997,13.76108,756.614275,0.85929,0,179.82164,0,0,0,1,0,41.13822,0,1.999998,13.6884,21.8769,1,0,1,1.29254,32.0843,174.6342,0,0,0.851897,2,2,0,0,6,31.16051,1.81592,643.5212
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,1032,0,0,6.22362,0,85,0,0,3,365,1,0,0,0,0,0,2,0,0,0,85,30,32,0,1,1,0,0,0,0,1,0,1,1,0,0,12,0,0,0,0,2,1,56,1,0,1,0,0,0,0,6,1,5,8,0,0,585
"1110004E09Rik",0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,376,0,0.376668,0,198.9999,0,210,0,1,0,0,0,23,9,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
"1110004F10Rik",3,12,2,61.4319,0,28.99999,386.00020417051,1,1,0,2,10,13,1,1,0.457265,1,17,7,1120.435,1,1,11,1,161,5,557.6685,0,279.9998,0,0,0,21,759.0001,753.0005,2,0.422446,9,1,0,69,175.0003,28,10,2,3,39,662.77486,3,155,93.2371,171,2,759.00045,39,1,506,0,66
"1110008F13Rik",1.82473,12,15,2,0,0,1,0,0,1,45,1,15,0,1.8414,1,1,0,1,1,0,1,0,111,174,196,8,61,0,33,6,26,7,0.565371,0,0,6.51159,114,2,1,2,0,1.81372,1.82775,9,0,46,0,1,0,249,100,1,0,0,0,15,0,6.88161
"1110008L16Rik",0,0,0,0,0,0,0,0,0,0,0,35.99999,0,0,0,0,0,1,0,0,0,0,86,0,30,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,2,0,0,9,1,3
"1110008P14Rik",0,594.03697,1.14235,0,0,0,35.00656,1,6,1,19.6299,1.0120544,0,2.38224,43.0302,2.06138,0,2,0,102.66,39,144.806,0,44,0,0,0,14,13,1,0,1.00063,0,9.0312,0,1.03696,0,1.00151,53,0,0,3.0077,0,0,0,14.0144,45,1.0026,0.00170231,12.196,0,1,0,0,0.0700216,0,13.9465,0,83.84651
"1110012L19Rik",0,0,0,0,0,23,142,0,0,0,0,274,0,0,1,0,0,0,30,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,292,0,0,0,0,0,0,41,0,0,0,0,0
"1110017D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032A03Rik",0,24.84484,0,0,0,0,0,0,11,1.0211,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27.2778,0,0,45.8921,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02823,0,0,0,4.02368,0,0,0,0,0,0,0,6.46482,0,0,0,0,153.07461
"1110032F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
"1110034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,56.5346,0,1,0,0,0,0,0,0,0,0,0,359
"1110037F02Rik",0,1.0000002349,31,594.99958,20.999982599,0,1,0.9999998003,473.9998178,1,0,27,177.9998,0,0,0,1.9999972845,0.9999996285,0.9999995621,2709.99988858,267.9997149208,0,2.999996542,38.00000083,213.0004,28.00003,0,477.99986568,90,4.000003923,1.000000471,33.000007805,0,0,0,2.9999954696,0,3.9999951723,0.9999997423,0,0,197.00037955,0,1.9999951912,0,9.000002557,0,0,0,705,0,1,2.000004351,1,1,1,3.000000482,2.0000047931,161
