"","V1"
"0610007P14Rik",26.5090485658755
"0610009B22Rik",18.7219982842684
"0610009L18Rik",4.56877332873342
"0610009O20Rik",5.37797001397347
"0610010F05Rik",3.05623277692098
"0610010K14Rik",36.0279049900307
"0610030E20Rik",3.36882326057494
"0610037L13Rik",22.1803559460621
"0610040J01Rik",0
"1110002E22Rik",1.04772794136185
"1110004E09Rik",6.84880742284922
"1110004F10Rik",41.0823216192597
"1110008F13Rik",7.866813225639
"1110008L16Rik",2.14488428737905
"1110008P14Rik",7.0207476426114
"1110012L19Rik",9.61246732466228
"1110017D15Rik",0
"1110025L11Rik",0
"1110032A03Rik",16.8653609436689
"1110032F04Rik",0.073674436579408
"1110034G24Rik",0.949594244484995
"1110037F02Rik",5.23715027464584
"1110038F14Rik",18.6067065340039
"1110051M20Rik",4.1050281097544
"1110057P08Rik",0
"1110059E24Rik",35.7783643856807
"1110059G10Rik",4.35074595562484
"1110065P20Rik",5.62657779004028
"1190002N15Rik",4.48356495621617
"1190003K10Rik",0
"1190005I06Rik",0.117962902070722
"1190007I07Rik",7.19923486432343
"1300017J02Rik",0.274052443474195
"1500009C09Rik",0
"1500009L16Rik",15.6808377935397
"1500011B03Rik",4.24181671252183
"1500011K16Rik",10.4373815784756
"1500015O10Rik",1.26606091507138
"1600002H07Rik",5.68791136379578
"1600002K03Rik",2.94444818676995
"1600012H06Rik",4.47693881086724
"1600014C10Rik",0.679425719278489
"1600014C23Rik",0
"1600015I10Rik",0.0325564043878739
"1700001C02Rik",0
"1700001C19Rik",0.318844520652793
"1700001F09Rik",0
"1700001J03Rik",0
"1700001K19Rik",0.888847618996945
"1700001L19Rik",0
"1700001O22Rik",0
"1700001P01Rik",2.1456075007477
"1700003E16Rik",0
"1700003F12Rik",0.0406758381778391
"1700003H04Rik",0
"1700006A11Rik",0
"1700006E09Rik",0.165927225314379
"1700007B14Rik",0
"1700007G11Rik",0
"1700007K09Rik",0.0975243656908559
"1700007K13Rik",0
"1700008O03Rik",0
"1700008P02Rik",0
"1700009N14Rik",0.0227886242346439
"1700010B08Rik",0.121131300679482
"1700010I14Rik",0
"1700011H14Rik",0
"1700011I03Rik",0
"1700011L22Rik",1.22726424998055
"1700011M02Rik",0
"1700012A03Rik",0
"1700012B07Rik",0
"1700012B09Rik",0
"1700012P22Rik",0
"1700013D24Rik",0
"1700013F07Rik",0
"1700013G24Rik",0
"1700013H16Rik",0
"1700014D04Rik",0.0103032264767009
"1700015E13Rik",0
"1700015F17Rik",0
"1700015G11Rik",0
"1700016C15Rik",3.85243236055198
"1700016D06Rik",6.58886634921531
"1700016H13Rik",0.503923273771472
"1700016K19Rik",0
"1700017B05Rik",6.56679947673663
"1700017D01Rik",0
"1700017N19Rik",0
"1700018B08Rik",0
"1700018C11Rik",0
"1700018F24Rik",0
"1700019A02Rik",0.0925262465954467
"1700019B03Rik",0
"1700019D03Rik",0.539003989737662
"1700019N19Rik",0
"1700019O17Rik",0
"1700020A23Rik",0
"1700020D05Rik",0
"1700020L24Rik",0
"1700020N01Rik",0
"1700020N15Rik",0
"1700021F05Rik",2.06610223855454
"1700021F07Rik",0
"1700022I11Rik",0.034499469896873
"1700023F06Rik",0
"1700024B05Rik",0.11758796208415
"1700024G13Rik",0
"1700024P04Rik",0
"1700024P16Rik",0.735575270058853
"1700025B11Rik",0
"1700025C18Rik",0.155254978006291
"1700025F22Rik",0
"1700025G04Rik",4.31528918214486
"1700027J19Rik",13.2980882271754
"1700028J19Rik",1.35029555648115
"1700028K03Rik",0
"1700028P14Rik",0.0129619199515055
"1700029F12Rik",0.448214492787168
"1700029H14Rik",0.0494433784191761
"1700029I15Rik",0.719806593625099
"1700029J07Rik",0.186138968158373
"1700029P11Rik",0.100440163820176
"1700030J22Rik",0.00920548810429823
"1700030K09Rik",0.994002379813044
"1700031F05Rik",0
"1700031M16Rik",0
"1700034E13Rik",0
"1700034I23Rik",0.225338615610754
"1700034J05Rik",0.15942082720531
"1700034O15Rik",0
"1700037C18Rik",2.25213667693919
"1700037H04Rik",6.2421049184889
"1700040F15Rik",0
"1700040L02Rik",3.45803188714312
"1700042G07Rik",0
"1700047I17Rik2",9.19493343518989
"1700049E17Rik1",0
"1700049E17Rik2",0
"1700056E22Rik",0
"1700057G04Rik",0
"1700061G19Rik",0.161491890413279
"1700064H15Rik",0.588743197404087
"1700066B19Rik",0.0619203275399528
"1700066M21Rik",1.9267918101736
"1700067K01Rik",0
"1700067P10Rik",0
"1700069L16Rik",0
"1700074P13Rik",0
"1700080E11Rik",0
"1700080O16Rik",0
"1700084M14Rik",0
"1700086D15Rik",0.30469915621339
"1700088E04Rik",0.727035582750695
"1700092M07Rik",0.0700143246891443
"1700093K21Rik",15.8795343931095
"1700102P08Rik",0
"1700109H08Rik",1.37958960788417
"1700112E06Rik",0.109293062773528
"1700113H08Rik",0
"1700122O11Rik",0
"1700123K08Rik",0
"1700123L14Rik",0
"1700123O20Rik",20.1956376979614
"1700125H20Rik",8.01792630975491
"1700129C05Rik",0.0347274394630357
"1810009A15Rik",27.626459864501
"1810009J06Rik",0
"1810011H11Rik",7.04376833779992
"1810011O10Rik",51.3553911723297
"1810013L24Rik",24.3459086190728
"1810022K09Rik",76.2407141806634
"1810024B03Rik",0.160196330847181
"1810026J23Rik",3.87172846964716
"1810030O07Rik",15.642023720218
"1810032O08Rik",0.0151712966152776
"1810037I17Rik",65.0280616153704
"1810041L15Rik",0.325433329799998
"1810043G02Rik",3.97616447603182
"1810046K07Rik",0
"1810049J17Rik",0.131208176903935
"1810055G02Rik",23.803910414634
"1810062G17Rik",0.283864633719935
"1810065E05Rik",0
"2010003K11Rik",0
"2010005H15Rik",0.339384001883969
"2010106E10Rik",0
"2010107E04Rik",679.095079375366
"2010107G23Rik",0.854438646738005
"2010109A12Rik",4.2579406448298
"2010109I03Rik",2.70452402108906
"2010111I01Rik",12.8334129656614
"2010300C02Rik",0.0156236047305652
"2010315B03Rik",1.90076657392053
"2200002D01Rik",0.121253301236
"2200002J24Rik",0.448045145512632
"2210010C04Rik",0.0428994873206262
"2210011C24Rik",0.00867269940040241
"2210016F16Rik",3.61525351026259
"2210016L21Rik",3.97358261538632
"2210017I01Rik",3.07903385222422
"2210407C18Rik",0
"2210408I21Rik",1.05189727571961
"2210418O10Rik",5.90657659405073
"2300002M23Rik",0
"2300003K06Rik",0
"2300009A05Rik",10.4225633776771
"2310002L09Rik",0.00620680636119832
"2310003L06Rik",0
"2310007B03Rik",0
"2310009B15Rik",13.6686705112593
"2310011J03Rik",4.27209713172391
"2310022A10Rik",0.328721804887378
"2310022B05Rik",16.6580189346328
"2310030G06Rik",0
"2310033P09Rik",3.13514227034729
"2310034C09Rik",0
"2310035C23Rik",7.53944188640335
"2310036O22Rik",11.6551401685372
"2310039H08Rik",18.2264144484419
"2310046K23Rik",0
"2310050C09Rik",0.00882498187956326
"2310057J18Rik",0.246534745368366
"2310057M21Rik",2.85170179254457
"2310057N15Rik",0
"2310061I04Rik",7.48612766788782
"2310061N02Rik",0
"2310079G19Rik",0
"2410002F23Rik",5.29251844487043
"2410004B18Rik",5.58838645337406
"2410004P03Rik",1.89824455545488
"2410015M20Rik",78.4261268056055
"2410016O06Rik",0.00722248697473615
"2410089E03Rik",3.0305770796587
"2410131K14Rik",2.12585803099302
"2410137M14Rik",0
"2410141K09Rik",0.295968619011777
"2510002D24Rik",7.01815437070151
"2510009E07Rik",6.4393549400285
"2510039O18Rik",2.03480781689419
"2610001J05Rik",15.3566921743788
"2610002M06Rik",0.873072651774328
"2610008E11Rik",1.05171699962383
"2610020H08Rik",1.19767083958028
"2610021A01Rik",0.44314159309009
"2610028H24Rik",0.262211815486226
"2610042L04Rik",2.87415646811232
"2610044O15Rik8",18.867520823705
"2610301B20Rik",8.31022365145875
"2610318N02Rik",3.33537161532461
"2610507B11Rik",5.7884040486808
"2610524H06Rik",15.8923719086414
"2610528A11Rik",0
"2610528J11Rik",0
"2700049A03Rik",5.52424441909364
"2700060E02Rik",57.686666913334
"2700062C07Rik",1.9952228379253
"2700081O15Rik",1.91937385870347
"2700097O09Rik",9.57196990026731
"2810004N23Rik",14.190123571708
"2810006K23Rik",2.61563189776575
"2810021J22Rik",0
"2810403A07Rik",18.3433972433592
"2810408A11Rik",0.00350153923345282
"2810417H13Rik",14.3010818940509
"2810428I15Rik",22.5418759501681
"2810459M11Rik",0.00976183257273442
"2810474O19Rik",28.7144134644533
"2900011O08Rik",0
"2900026A02Rik",2.72160209024816
"2900055J20Rik",0
"2900092C05Rik",0
"3010026O09Rik",1.62801591404375
"3100002H09Rik",0
"3110001I22Rik",1.05243251357282
"3110002H16Rik",27.236721399096
"3110009E18Rik",6.74015949471585
"3110018I06Rik",0
"3110021N24Rik",2.67025530405329
"3110035E14Rik",2.48379523033231
"3110040N11Rik",4.18300346907132
"3110043O21Rik",3.86250377600316
"3110062M04Rik",1.780333761286
"3110070M22Rik",0.0365958536458503
"3110079O15Rik",0
"3110082I17Rik",1.90123358403838
"3110082J24Rik",0
"3300002I08Rik",2.55721659464259
"3425401B19Rik",1.02327151473492
"3632451O06Rik",0.663273985638683
"3830403N18Rik",0.198030359028167
"3830406C13Rik",15.6529548471518
"3830408C21Rik",0.543199063364709
"3830417A13Rik",0
"4430402I18Rik",2.19509954313286
"4833420G17Rik",7.86432122852941
"4833423E24Rik",0.00266385225270627
"4833427G06Rik",0
"4833439L19Rik",12.5408268971309
"4921501E09Rik",0
"4921504E06Rik",0
"4921507P07Rik",0.0392801141678143
"4921508M14Rik",0
"4921509C19Rik",0
"4921511C20Rik",0
"4921511H03Rik",0.130949756395254
"4921511M17Rik",0
"4921513D11Rik",0.00536633101317862
"4921513I03Rik",0.0918325209227672
"4921517D22Rik",0.298616982175023
"4921524J17Rik",12.5145493582191
"4921524L21Rik",0.0591385076145576
"4921530L21Rik",0
"4921536K21Rik",0.162041819021538
"4921539E11Rik",0
"4922502D21Rik",0
"4930402F06Rik",0.63094495081527
"4930402H24Rik",11.403931713778
"4930402K13Rik",0
"4930404H24Rik",0
"4930404N11Rik",0
"4930407I10Rik",0.00100761632393296
"4930408O17Rik",0
"4930412O13Rik",0
"4930415F15Rik",0
"4930415L06Rik",0
"4930415O20Rik",1.41920566263789
"4930426L09Rik",0
"4930427A07Rik",0.541650336932781
"4930430A15Rik",0.107906500281009
"4930430F08Rik",0.598271791041189
"4930432K21Rik",0
"4930432M17Rik",0
"4930433I11Rik",0
"4930435E12Rik",0
"4930438A08Rik",0
"4930442H23Rik",0.0206810113975932
"4930444G20Rik",0
"4930444P10Rik",1.14642297089411
"4930447A16Rik",0.0171174655615742
"4930447C04Rik",0.0912746058410354
"4930447F04Rik",0
"4930449I24Rik",0
"4930451G09Rik",0.0477854895068105
"4930451I11Rik",0
"4930452B06Rik",0.544868292454761
"4930453N24Rik",1.56456034357177
"4930455H04Rik",0.0618518024718097
"4930467E23Rik",0
